""	Energy 	0	15	30	""	45	60	75
Exp	1.033 	0.091 	0.103 	0.119 	""	0.177 	0.280 	0.461
Theory 	1.0 	0.091 	0.099 	0.129 	""	0.193 	0.280 	0.443
Exp	0.521 	0.156 	0.160 	0.182 	""	0.238 	0.329 	0.483
Theory 	0.5 	0.116 	0.124 	0.158 	""	0.214 	0.314 	0.472
Exp	0.314 	0.139 	0.161 	0.181 	""	0.236 	0.338 	0.502
Theory 	0.3 	0.132 	0.139 	0.174 	""	0.233 	0.331 	0.481
Exp	0.109 	0.167 	0.174 	0.201 	""	0.262 	0.359	0
Theory 	0.1 	0.140 	0.150 	0.186 	""	0.235 	0.330 	0.487
