""	Energy 	0	15	30	""	45	60	75	
Exp	1.033 	0.180 	0.190 	0.230 	""	0.309 	0.430 	0.600	
Theory 	1.0 	0.178 	0.193 	0.240 	""	0.326 	0.431 	0.612	
Exp	0.521 	0.203 	0.221 	0.257 	""	0.331 	0.443 	0.597	
Theory 	0.5 	0.207 	0.218 	0.266 	""	0.337 	0.452 	0.614	
Exp	0.314 	0.217 	0.231 	0.274 	""	0.348 	0.459 	0.617	
Theory 	0.3 	0.224 	0.232 	0.279 	""	0.353 	0.463 	0.619	
Exp	0.109 	0.226 	0.239 	0.273 	""	0.343 	0.441	0	
Theory 	0.1 	0.223 	0.235 	0.284 	""	0.345 	0.453 	0.611	
