""	Energy 	0	15	30	""	45	60	75
Exp 	1.033 	0.191 	0.200 	0.235 	""	0.297 	0.394 	0.554
Theory 	1.0 	0.194 	0.205 	0.239 	""	0.300 	0.392 	0.538
Exp	0.521 	0.245 	0.251 	0.278 	""	0.337 	0.427 	0.568
Theory 	0.5 	0.231 	0.241 	0.271 	""	0.328 	0.427 	0.559
Exp	0.314 	0.247 	0.266 	0.299 	""	0.365 	0.452 	0.594
Theory 	0.3 	0.244 	0.252 	0.288 	""	0.352 	0.428 	0.571
Exp	0.109 	0.278 	0.284 	0.325 	""	0.383 	0.464	0
Theory 	0.1 	0.254 	0.269 	0.296 	""	0.355 	0.444 	0.572
