""	Energy 	0	15	30	""	45	60	75
Exp 	1.033 	0.310 	0.323 	0.362 	""	0.428 	0.530 	0.670
Theory 	1.0 	0.320 	0.331 	0.376 	""	0.443 	0.543 	0.678
Exp	0.521 	0.349 	0.372 	0.400 	""	0.466 	0.557 	0.682
Theory 	0.5 	0.351 	0.364 	0.396 	""	0.462 	0.561 	0.688
Exp	0.314 	0.362 	0.375 	0.423 	""	0.487 	0.572 	0.687
Theory 	0.3 	0.359 	0.370 	0.410 	""	0.479 	0.551 	0.691
Exp 	0.109 	0.383 	0.395 	0.427 	""	0.487 	0.564	0
Theory 	0.1 	0.361 	0.377 	0.409 	""	0.473 	0.561 	0.690
