""	Energy 	1	16	31	""	46	61	76	83.5
Exp	1.033 	1.20e-2	1.74e-2	3.06e-2	""	6.96e-2	1.70e-1	3.96e-1	5.84e-1
Theory 	1.0 	1.07e-2	0 	2.91e-2	""	7.40e-2	1.85e-1	4.26e-1	6.20e-1
Exp	0.521	2.11e-2	2.17e-2	3.75e-2	""	7.89e-2	1.83e-1	3.87e-1	5.72e-1
Theory 	0.5 	1.40e-2	0 	3.60e-2	""	8.29e-2	1.97e-1	4.20e-1	6.03e-1
Exp	0.314	2.10e-2	2.63e-2	4.10e-2	""	8.33e-2	1.84e-1	3.87e-1	0	
Theory 	0.3 	1.63e-2 0	3.97e-2	""	8.67e-2	1.98e-1	4.23e-1	0		
Exp	0.109	2.23e-2	2.68e-2	3.80e-2	""	8.39e-2	0	0	0	 		
Theory 	0.1 	2.01e-2	0 	4.25e-2	""	9.11e-2	1.96e-1	0	0		

